"City","Santa Maria","Santa Barbara","Lompoc","Goleta","Carpinteria","Solvang","Montecito","Guadalupe","Buellton","Santa Ynez","Mission Canyon","Los Alamos"
"State","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA"
"1996-04-01","133900","281800","131000","240500","246100","271800","730900","103400","183100","283200","369400","185500"
"1996-05-01","133400","282300","130900","240600","246400","270200","733000","102500","183400","283200","371400","185300"
"1996-06-01","132900","282800","130600","240600","246700","268500","735500","101600","183700","283300","373400","185200"
"1996-07-01","132400","283500","130300","240700","247100","266900","738100","100600","183900","283400","375300","185100"
"1996-08-01","131900","284200","129900","240800","247500","265300","741100"," 99600","184200","283700","377200","184900"
"1996-09-01","131500","285200","129600","241000","248000","263800","744500"," 98600","184400","284100","379200","184900"
"1996-10-01","131200","286300","129200","241400","248600","262600","748800"," 97700","184800","284800","381500","185000"
"1996-11-01","131000","287600","128900","242000","249200","261800","753800"," 96600","185200","285700","384200","185100"
"1996-12-01","130800","289400","128800","243000","250300","261500","760500"," 95600","186000","287300","387800","185400"
"1997-01-01","130900","291400","128900","244400","251600","261500","768200"," 94800","187000","289300","391600","185900"
"1997-02-01","131000","293400","129100","245700","252900","261600","775400"," 94100","187800","291500","394600","186300"
"1997-03-01","131000","295200","129100","246800","253900","261700","781600"," 93400","188500","293600","397100","186400"
"1997-04-01","130900","297200","129300","248000","255000","262100","787800"," 92700","189100","295900","399600","186500"
"1997-05-01","130900","299600","129600","249300","256100","262700","793900"," 92100","189800","298300","402100","186600"
"1997-06-01","131000","302300","130000","250500","257100","263400","799700"," 91500","190500","300800","404700","186700"
"1997-07-01","131000","305200","130500","251800","258100","264300","805100"," 91000","191200","303300","407300","186800"
"1997-08-01","131100","308200","131100","253100","259100","265400","809900"," 90500","192000","305900","410000","187000"
"1997-09-01","131300","311200","131800","254500","259900","266700","814300"," 90100","192900","308400","412900","187300"
"1997-10-01","131600","314400","132500","256100","260900","268300","818500"," 89800","194000","311100","416200","187700"
"1997-11-01","132200","318000","133300","257900","261900","270300","822800"," 89600","195100","313900","420200","188200"
"1997-12-01","133200","322300","134400","260300","263400","272900","828000"," 89400","196700","317100","425300","188900"
"1998-01-01","134500","327100","135500","263300","265300","275800","833800"," 89500","198600","320600","430700","189900"
"1998-02-01","135800","331900","136600","266400","267300","278700","838700"," 89800","200400","324100","435500","190900"
"1998-03-01","136900","336500","137500","269300","269200","281700","842400"," 90000","201900","327300","439800","191800"
"1998-04-01","138100","341200","138300","272600","271300","284900","846200"," 90200","203600","330600","444300","192700"
"1998-05-01","139100","345900","138900","276100","273700","288300","850300"," 90600","205400","334000","449000","193700"
"1998-06-01","140100","350600","139400","279700","276500","291700","854700"," 91000","207200","337300","453800","194800"
"1998-07-01","140900","355200","139700","283500","279600","295200","859500"," 91400","209200","340600","458700","196100"
"1998-08-01","141800","359900","140100","287400","283000","298700","864600"," 91800","211200","343900","463900","197700"
"1998-09-01","142600","364800","140500","291500","286900","302300","870500"," 92300","213400","347100","469300","199300"
"1998-10-01","143400","370000","140800","295900","291100","306100","877400"," 92800","215800","350600","475200","201200"
"1998-11-01","144200","375500","141100","300600","295700","310100","885500"," 93200","218300","354200","482000","203400"
"1998-12-01","145200","381600","141600","305700","301100","314700","895600"," 93600","221400","358300","490100","206000"
"1999-01-01","146300","387900","142200","311200","306900","319500","907000"," 94200","224700","362800","498600","208900"
"1999-02-01","147200","394000","142800","316500","312900","324200","918300"," 95000","227800","367300","506300","211700"
"1999-03-01","148100","399800","143300","321600","318700","328900","929200"," 95800","230800","371700","513500","214400"
"1999-04-01","149000","405600","143800","326900","324700","333800","941000"," 96500","234000","376300","521100","217200"
"1999-05-01","150100","411400","144300","332200","330800","338900","953500"," 97300","237200","380900","528800","220100"
"1999-06-01","151200","417100","144900","337500","336900","344000","966800"," 98100","240500","385500","536700","223100"
"1999-07-01","152400","422800","145500","342800","343000","349100","981100"," 98900","243900","390200","544900","226200"
"1999-08-01","153800","428300","146100","348100","348900","354200","996300"," 99700","247500","394700","553200","229500"
"1999-09-01"," 155200"," 434000"," 146900"," 353500"," 354700"," 359400","1012500"," 100500"," 251000"," 399200"," 561900"," 232900"
